Disease,Department,Severity,Risk_Level,Advice,Prevention,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",sore throat,fatigue,loss of taste,diarrhea,chest pain,shortness of breath,dry cough,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",sore throat,dry cough,fatigue,loss of taste,runny nose,loss of smell,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",body pain,dry cough,loss of smell,runny nose,loss of taste,sore throat,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",chest pain,loss of taste,dry cough,headache,body pain,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",body pain,sore throat,headache,fever,loss of taste,runny nose,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",headache,runny nose,fever,chest pain,sore throat,diarrhea,loss of smell,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",headache,chest pain,body pain,runny nose,loss of taste,sore throat,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",fatigue,headache,sore throat,fever,diarrhea,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",diarrhea,chest pain,headache,loss of smell,sore throat,dry cough,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",headache,runny nose,diarrhea,fever,,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",diarrhea,headache,loss of smell,sore throat,,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",fever,fatigue,headache,shortness of breath,loss of taste,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",shortness of breath,chest pain,headache,fatigue,runny nose,loss of smell,fever,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",fever,body pain,chest pain,shortness of breath,loss of taste,diarrhea,runny nose,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",fever,loss of taste,diarrhea,chest pain,,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",loss of taste,loss of smell,sore throat,dry cough,chest pain,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",chest pain,fatigue,shortness of breath,loss of smell,dry cough,headache,sore throat,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",dry cough,runny nose,fever,fatigue,headache,loss of taste,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",dry cough,runny nose,loss of taste,chest pain,fatigue,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",runny nose,fever,shortness of breath,body pain,,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",diarrhea,shortness of breath,dry cough,body pain,chest pain,fever,loss of taste,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",dry cough,headache,shortness of breath,sore throat,loss of smell,loss of taste,chest pain,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",runny nose,body pain,sore throat,chest pain,headache,diarrhea,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",shortness of breath,loss of taste,dry cough,fatigue,sore throat,runny nose,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",runny nose,chest pain,headache,shortness of breath,fever,loss of taste,loss of smell,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",sore throat,loss of taste,shortness of breath,fatigue,runny nose,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",runny nose,fatigue,body pain,fever,loss of taste,chest pain,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",chest pain,headache,sore throat,body pain,loss of taste,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",diarrhea,sore throat,chest pain,fever,dry cough,loss of smell,runny nose,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",chest pain,loss of taste,fatigue,shortness of breath,sore throat,runny nose,headache,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",headache,body pain,shortness of breath,runny nose,sore throat,loss of smell,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",fatigue,loss of taste,dry cough,diarrhea,shortness of breath,fever,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",loss of taste,chest pain,sore throat,fatigue,body pain,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",loss of taste,fatigue,chest pain,shortness of breath,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,skin rash,high fever,eye pain,joint pain,weakness,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,high fever,eye pain,skin rash,joint pain,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,headache,high fever,loss of appetite,skin rash,nausea,muscle pain,fatigue,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,joint pain,high fever,skin rash,nausea,headache,fatigue,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,fatigue,nausea,headache,high fever,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,joint pain,loss of appetite,skin rash,headache,muscle pain,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,eye pain,fatigue,loss of appetite,muscle pain,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,nausea,weakness,skin rash,fatigue,loss of appetite,bleeding gums,eye pain,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,loss of appetite,headache,muscle pain,weakness,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,bleeding gums,headache,joint pain,muscle pain,loss of appetite,skin rash,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,joint pain,high fever,fatigue,nausea,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,skin rash,high fever,muscle pain,weakness,eye pain,vomiting,loss of appetite,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,bleeding gums,muscle pain,skin rash,weakness,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,headache,eye pain,muscle pain,joint pain,skin rash,fatigue,weakness,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,high fever,joint pain,skin rash,loss of appetite,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,headache,nausea,skin rash,fatigue,loss of appetite,bleeding gums,eye pain,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,nausea,headache,loss of appetite,high fever,fatigue,vomiting,joint pain,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,high fever,headache,muscle pain,weakness,skin rash,nausea,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,joint pain,nausea,eye pain,bleeding gums,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,joint pain,loss of appetite,fatigue,nausea,headache,muscle pain,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,fatigue,vomiting,bleeding gums,headache,joint pain,nausea,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,weakness,nausea,skin rash,fatigue,high fever,muscle pain,bleeding gums,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,skin rash,vomiting,headache,fatigue,high fever,bleeding gums,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,fatigue,high fever,muscle pain,eye pain,vomiting,skin rash,loss of appetite,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,high fever,muscle pain,skin rash,eye pain,joint pain,nausea,bleeding gums,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,headache,high fever,loss of appetite,muscle pain,joint pain,nausea,skin rash,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,eye pain,fatigue,headache,muscle pain,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,nausea,headache,joint pain,weakness,,,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,eye pain,skin rash,fatigue,nausea,weakness,headache,,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,eye pain,joint pain,fatigue,muscle pain,bleeding gums,loss of appetite,high fever,,,,,
Dengue,General Medicine,High,High,Drink fluids and seek immediate medical care.,Prevent mosquito bites and remove stagnant water.,fatigue,vomiting,eye pain,skin rash,high fever,joint pain,,,,,,
